Date,Open,High,Low,Close,Up votes,Down votes
2022-07-11,21470.77,21470.77,21001.63,21124.2,0.5,0.5
2022-07-12,20905.07,21084.09,20779.59,20844.74,0.41,0.5900000000000001
2022-07-13,20911.53,21040.34,20751.48,20797.95,0.53,0.47
2022-07-14,20818.27,20888.8,20554.15,20751.21,0.34,0.6599999999999999
2022-07-15,20522.11,20656.96,20215.97,20297.72,0.38,0.62
2022-07-18,20479.58,20866.33,20294.14,20846.18,0.535764705882353,0.46423529411764697
2022-07-19,20719.2,20758.71,20549.44,20661.06,0.68,0.31999999999999995
2022-07-20,20968.42,21111.78,20884.92,20890.22,0.63,0.37
2022-07-21,20811.6,20827.61,20527.35,20574.63,0.47,0.53
2022-07-22,20717.47,20788.46,20513.8,20609.14,0.51,0.49
2022-07-25,20516.34,20595.09,20353.68,20562.94,0.52,0.48
2022-07-26,20676.68,20952.45,20631.82,20905.88,0.56,0.43999999999999995
2022-07-27,20684.48,20770.1,20572.42,20670.04,0.52,0.48
2022-07-28,20705.46,20772.63,20533.42,20622.68,0.57,0.43000000000000005
2022-07-29,20647.45,20647.45,20050.05,20156.51,0.51,0.49
2022-08-01,20026.6,20251.43,19883.92,20165.84,0.54,0.45999999999999996
2022-08-02,19943.16,19943.16,19515.54,19689.21,0.46,0.54
2022-08-03,19865.69,19921.91,19685.48,19767.09,0.44,0.56
2022-08-04,20011.25,20216.58,19995.46,20174.04,0.535764705882353,0.46423529411764697
2022-08-05,20283.59,20283.59,20096.54,20201.94,0.66,0.33999999999999997
2022-08-08,20065.35,20171.89,19954.04,20045.77,0.47,0.53
2022-08-09,20039.3,20250.87,19856.23,20003.44,0.61,0.39
2022-08-10,19956.51,19956.51,19469.11,19610.84,0.45,0.55
2022-08-11,19840.57,20082.43,19789.96,20082.43,0.535764705882353,0.46423529411764697
2022-08-12,20158.29,20208.02,20011.38,20175.62,0.73,0.27
2022-08-15,20038.48,20260.66,19984.04,20040.86,0.47,0.53
2022-08-16,20107.14,20173.4,19662.61,19830.52,0.5,0.5
2022-08-17,19995.77,20069.85,19800.58,19922.45,0.52,0.48
2022-08-18,19991.94,19991.94,19675.46,19763.91,0.47,0.53
2022-08-19,19656.8,19898.18,19656.8,19773.03,0.55,0.44999999999999996
2022-08-22,19572.42,19825.93,19564.19,19656.98,0.46,0.54
2022-08-23,19644.23,19701.55,19377.09,19503.25,0.44,0.56
2022-08-24,19542.24,19542.24,19189.54,19268.74,0.52,0.48
2022-08-25,19418.46,19990.31,19418.46,19968.38,0.47,0.53
2022-08-26,20138.69,20185.15,20050.97,20170.04,0.68,0.31999999999999995
2022-08-29,19960.29,20073.94,19889.67,20023.22,0.71,0.29000000000000004
2022-08-30,20062.73,20062.73,19645.57,19949.03,0.6,0.4
2022-08-31,19589.85,20173.02,19564.84,19954.39,0.43,0.5700000000000001
2022-09-01,19761.72,19839.51,19532.86,19597.31,0.56,0.43999999999999995
2022-09-02,19572.47,19630.8,19342.49,19452.09,0.45,0.55
2022-09-05,19299.09,19299.09,19064.79,19225.7,0.535764705882353,0.46423529411764697
2022-09-06,19261.7,19358.02,19107.6,19202.73,0.55,0.44999999999999996
2022-09-07,18915.87,19068.9,18818.78,19044.3,0.47,0.53
2022-09-08,19043.84,19075.74,18803.76,18854.62,0.51,0.49
2022-09-09,18893.65,19417.56,18893.65,19362.25,0.43,0.5700000000000001
2022-09-13,19404.64,19492.06,19296.25,19326.86,0.69,0.31000000000000005
2022-09-14,18933.3,18989.22,18797.79,18847.1,0.27,0.73
